,date,produit,region,quantité,prix_unitaire,coût_unitaire,heure_achat
94,2026-04-01,Tablette,Saint-Louis,18,997,663,05:13:07
95,2026-01-22,Laptop,Dakar,15,64,159,13:34:05
96,2026-01-29,Laptop,Thies,19,1230,1049,16:05:32
97,2026-01-31,Tablette,Ziguinchor,2,1334,848,09:11:02
98,2026-01-18,Tablette,Thies,6,1230,722,21:01:53
99,2026-01-26,Tablette,Thies,1,96,823,16:47:41
100,2026-12-01,Casque,Thies,15,373,58,20:56:58
101,2026-02-01,Souris,Thies,10,893,178,18:31:12
102,2026-10-01,Laptop,Saint-Louis,19,179,40,09:40:32
103,2026-01-30,Casque,Dakar,17,1484,705,08:52:46
104,2026-04-01,Tablette,Kaolack,5,144,1166,20:09:05
105,2026-01-14,Laptop,Thies,4,676,216,03:36:27
106,2026-01-31,Casque,Ziguinchor,10,804,836,10:21:51
107,2026-01-16,Souris,Thies,17,1365,773,08:46:15
108,2026-01-15,Casque,Ziguinchor,10,843,127,17:44:12
109,2026-08-01,Souris,Saint-Louis,17,1356,84,00:16:47
110,2026-01-14,Tablette,Ziguinchor,5,118,652,19:43:01
111,2026-01-23,Souris,Kaolack,2,60,693,21:10:42
112,2026-01-28,Laptop,Dakar,6,1327,787,13:11:57
113,2026-01-25,Tablette,Ziguinchor,2,921,435,08:07:37
114,2026-01-30,Laptop,Ziguinchor,13,599,98,11:43:27
115,2026-08-01,Clavier,Dakar,11,1207,780,03:41:21
116,2026-01-21,Smartphone,Kaolack,11,761,987,17:00:46
117,2026-01-16,Souris,Thies,16,72,394,00:23:55
118,2026-01-13,Smartphone,Ziguinchor,11,864,511,07:24:20
119,2026-01-18,Smartphone,Dakar,19,395,230,01:24:44
120,2026-01-15,Souris,Saint-Louis,15,351,183,22:49:57
121,2026-01-21,Tablette,Dakar,16,412,102,03:45:07
122,2026-01-24,Clavier,Saint-Louis,11,445,742,20:09:55
123,2026-01-26,Laptop,Kaolack,16,267,325,23:16:47
124,2026-01-25,Casque,Thies,8,190,1070,12:38:59
125,2026-01-28,Laptop,Dakar,4,1007,90,02:04:51
126,2026-01-28,Casque,Ziguinchor,8,1283,968,13:56:32
127,2026-01-28,Laptop,Kaolack,4,1034,71,22:19:55
128,2026-01-13,Souris,Dakar,3,1042,54,17:44:48
129,2026-09-01,Clavier,Ziguinchor,3,877,1092,20:26:49
130,2026-01-29,Casque,Dakar,18,732,160,02:31:17
131,2026-01-15,Tablette,Saint-Louis,19,1053,137,05:49:13
132,2026-01-13,Laptop,Dakar,19,405,201,21:21:59
133,2026-01-01,Laptop,Dakar,5,1057,131,18:51:29
134,2026-01-25,Casque,Dakar,18,1397,895,06:37:01
135,2026-07-01,Tablette,Kaolack,10,1206,553,10:26:07
136,2026-09-01,Tablette,Dakar,6,937,304,06:54:20
137,2026-01-24,Souris,Ziguinchor,1,176,1097,05:53:15
138,2026-01-01,Souris,Saint-Louis,5,1179,846,21:31:15
139,2026-12-01,Souris,Saint-Louis,9,1058,986,05:57:07
140,2026-08-01,Souris,Dakar,12,653,1070,07:31:23
141,2026-01-24,Souris,Kaolack,14,1451,359,15:56:12
142,2026-01-31,Souris,Kaolack,2,1063,41,12:14:24
143,2026-11-01,Clavier,Ziguinchor,17,100,245,02:10:13
144,2026-01-19,Tablette,Dakar,14,1102,368,08:46:38
145,2026-01-17,Souris,Saint-Louis,13,1369,690,07:31:22
146,2026-08-01,Tablette,Kaolack,9,1370,1134,08:07:21
147,2026-03-01,Tablette,Dakar,15,828,403,12:22:49
148,2026-03-01,Smartphone,Kaolack,15,1480,1005,03:15:45
149,2026-01-01,Clavier,Kaolack,11,863,739,07:13:49
150,2026-01-27,Souris,Saint-Louis,16,1478,495,03:37:05
151,2026-05-01,Laptop,Thies,17,1419,1142,03:58:08
152,2026-10-01,Casque,Ziguinchor,4,469,518,01:49:00
153,2026-07-01,Laptop,Ziguinchor,1,1255,76,22:45:58
154,2026-01-26,Clavier,Saint-Louis,8,1032,807,19:07:58
155,2026-09-01,Casque,Kaolack,17,874,1069,11:37:26
156,2026-01-28,Clavier,Dakar,3,1074,740,21:05:32
157,2026-07-01,Tablette,Kaolack,15,616,430,04:51:22
158,2026-09-01,Casque,Saint-Louis,15,420,1010,06:30:11
159,2026-08-01,Tablette,Ziguinchor,14,985,1139,14:09:35
160,2026-12-01,Laptop,Kaolack,14,710,279,16:49:05
161,2026-02-01,Laptop,Ziguinchor,2,1018,420,21:53:17
162,2026-01-01,Casque,Dakar,13,1382,364,14:31:47
163,2026-01-16,Casque,Ziguinchor,14,1210,658,00:51:33
164,2026-01-23,Souris,Ziguinchor,19,251,166,21:27:38
165,2026-01-23,Clavier,Thies,7,362,912,06:07:22
166,2026-01-30,Souris,Thies,3,166,717,14:42:10
167,2026-01-24,Clavier,Thies,15,986,856,12:20:13
168,2026-05-01,Souris,Ziguinchor,14,624,756,09:22:36
169,2026-03-01,Tablette,Saint-Louis,11,293,623,14:47:48
170,2026-12-01,Casque,Ziguinchor,15,586,1019,10:53:34
171,2026-08-01,Laptop,Saint-Louis,13,124,401,22:44:31
172,2026-01-22,Clavier,Saint-Louis,18,435,964,07:56:42
173,2026-01-27,Clavier,Thies,6,1283,1024,14:48:51
174,2026-03-01,Laptop,Kaolack,3,524,431,13:35:01
175,2026-01-01,Souris,Dakar,19,467,644,17:36:56
176,2026-03-01,Clavier,Thies,15,396,1024,08:56:36
177,2026-05-01,Tablette,Thies,5,689,649,01:33:46
178,2026-01-15,Casque,Kaolack,10,988,217,02:03:44
179,2026-01-14,Laptop,Dakar,7,1004,1151,03:34:17
180,2026-03-01,Casque,Ziguinchor,17,925,160,05:33:02
181,2026-01-01,Clavier,Ziguinchor,7,812,834,21:22:41
182,2026-05-01,Clavier,Thies,12,1252,965,00:33:00
183,2026-01-26,Laptop,Dakar,17,1255,1015,13:24:50
184,2026-01-23,Tablette,Thies,13,713,212,07:20:31
185,2026-01-31,Smartphone,Saint-Louis,4,74,1012,23:36:16
186,2026-01-14,Laptop,Thies,10,1253,393,22:58:31
187,2026-07-01,Smartphone,Thies,3,759,68,07:19:45
188,2026-01-27,Souris,Ziguinchor,9,1234,526,10:35:58
189,2026-09-01,Smartphone,Ziguinchor,13,226,1011,06:23:39
190,2026-01-15,Tablette,Ziguinchor,18,334,950,05:10:39
191,2026-01-15,Souris,Saint-Louis,15,112,751,23:45:30
192,2026-01-26,Smartphone,Ziguinchor,4,1052,45,05:59:23
193,2026-10-01,Souris,Dakar,15,711,522,10:55:41
194,2026-01-28,Smartphone,Kaolack,2,715,1161,01:36:16
195,2026-01-13,Tablette,Dakar,15,205,923,10:07:24
196,2026-01-19,Smartphone,Dakar,8,1122,340,19:08:36
197,2026-01-31,Smartphone,Ziguinchor,8,1016,768,02:25:11
198,2026-07-01,Smartphone,Kaolack,17,898,575,20:38:38
199,2026-01-17,Laptop,Kaolack,12,1157,443,23:02:50
200,2026-01-20,Laptop,Kaolack,19,1434,280,23:45:53
201,2026-01-29,Laptop,Saint-Louis,10,738,788,08:31:47
202,2026-04-01,Tablette,Ziguinchor,9,197,1194,10:51:50
203,2026-01-30,Souris,Kaolack,5,391,1092,17:09:48
204,2026-05-01,Clavier,Saint-Louis,6,525,843,23:01:19
205,2026-01-23,Smartphone,Thies,2,1136,58,10:47:07
206,2026-07-01,Smartphone,Thies,13,1433,987,01:34:15
207,2026-01-13,Tablette,Saint-Louis,6,610,506,12:27:39
208,2026-01-15,Smartphone,Saint-Louis,5,376,347,14:53:45
209,2026-11-01,Laptop,Ziguinchor,1,1214,274,14:28:18
210,2026-01-29,Clavier,Ziguinchor,6,1039,777,04:14:11
211,2026-04-01,Casque,Thies,6,264,726,00:08:46
212,2026-01-13,Smartphone,Kaolack,16,484,301,19:06:00
213,2026-07-01,Laptop,Thies,4,1001,406,13:17:17
214,2026-01-27,Casque,Kaolack,11,772,295,03:12:16
215,2026-01-19,Clavier,Kaolack,9,1391,955,07:55:41
216,2026-01-22,Casque,Ziguinchor,3,81,950,21:58:03
217,2026-01-28,Laptop,Dakar,19,719,369,14:10:27
218,2026-02-01,Souris,Dakar,8,334,418,09:35:31
219,2026-10-01,Souris,Saint-Louis,5,1378,606,02:25:12
220,2026-01-13,Casque,Ziguinchor,4,478,32,18:10:55
221,2026-01-30,Tablette,Kaolack,6,335,1195,20:45:44
222,2026-01-25,Casque,Dakar,2,1217,405,01:25:09
223,2026-01-21,Smartphone,Kaolack,11,1497,353,13:41:08
224,2026-06-01,Smartphone,Dakar,4,1092,175,15:10:15
225,2026-01-28,Souris,Dakar,15,67,322,22:55:03
226,2026-01-28,Tablette,Dakar,6,818,461,08:15:59
227,2026-12-01,Laptop,Ziguinchor,17,639,734,23:48:28
228,2026-12-01,Smartphone,Thies,6,1444,978,16:41:52
229,2026-01-20,Souris,Kaolack,19,1248,614,07:23:09
230,2026-01-30,Clavier,Ziguinchor,2,1059,428,08:20:15
231,2026-01-30,Souris,Ziguinchor,15,243,846,08:03:29
232,2026-11-01,Smartphone,Ziguinchor,11,551,993,23:08:29
233,2026-01-26,Smartphone,Ziguinchor,8,1037,1193,17:14:06
234,2026-01-23,Souris,Ziguinchor,19,1186,216,07:15:43
235,2026-01-28,Laptop,Saint-Louis,13,163,90,01:42:34
236,2026-01-25,Casque,Kaolack,12,1295,968,06:03:24
237,2026-07-01,Smartphone,Ziguinchor,5,996,739,11:34:48
238,2026-01-30,Souris,Kaolack,6,880,836,17:51:28
239,2026-01-01,Souris,Saint-Louis,4,1337,40,14:13:15
240,2026-01-01,Tablette,Saint-Louis,19,974,1115,05:43:01
241,2026-01-25,Casque,Kaolack,1,104,255,14:37:28
242,2026-01-27,Clavier,Dakar,17,849,593,08:21:27
243,2026-01-30,Laptop,Thies,12,827,801,13:52:10
244,2026-01-25,Clavier,Dakar,15,211,914,09:09:41
245,2026-01-20,Casque,Dakar,1,1453,1160,19:14:58
246,2026-01-13,Casque,Dakar,14,136,255,12:49:27
247,2026-09-01,Casque,Ziguinchor,6,104,854,20:55:04
248,2026-03-01,Clavier,Saint-Louis,5,1251,247,12:03:28
249,2026-07-01,Casque,Dakar,11,1464,966,10:58:19
